               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045868,            0.017562,             0.12243,           0.0049896,             0.73933,            0.007617,           0.0058754,            0.013402,           0.0038232,            0.076945,           0.0033202,           0.0033202,            0.070119
                   1,            0.029449,            0.011502,             0.11993,           0.0052324,             0.77542,           0.0082191,           0.0071736,            0.009446,           0.0029149,            0.075799,           0.0066315,           0.0066315,            0.040097
                   2,            0.027236,            0.010536,             0.11916,             0.00522,             0.79009,           0.0086554,            0.006995,            0.013136,           0.0033448,            0.075168,           0.0099209,           0.0099209,            0.010053
                   3,            0.023573,            0.010103,             0.11844,           0.0052603,             0.85336,           0.0089308,            0.007886,           0.0084318,           0.0028739,            0.075346,            0.009901,            0.009901,            0.009901
                   4,            0.020824,           0.0092894,             0.11823,           0.0052423,             0.89902,           0.0089305,           0.0079601,           0.0080182,           0.0027443,            0.075058,            0.009901,            0.009901,            0.009901
                   5,            0.019088,           0.0090142,             0.11791,             0.05337,             0.26221,            0.009795,           0.0088129,           0.0070867,            0.002643,            0.075039,            0.009868,            0.009868,            0.009868
                   6,            0.018602,           0.0087357,             0.11755,            0.061784,             0.24839,           0.0097216,           0.0087322,           0.0077347,           0.0024917,            0.074864,            0.009835,            0.009835,            0.009835
                   7,            0.017995,           0.0085147,             0.11751,            0.032434,             0.40508,            0.010434,           0.0094083,           0.0069224,           0.0025801,            0.074796,            0.009802,            0.009802,            0.009802
                   8,            0.017452,           0.0084322,             0.11773,            0.033769,              0.4299,            0.011255,            0.010094,           0.0072621,           0.0026012,            0.074762,            0.009769,            0.009769,            0.009769
                   9,            0.017035,           0.0082594,             0.11744,            0.039732,             0.43212,            0.011096,            0.010036,           0.0069862,           0.0024053,            0.074758,            0.009736,            0.009736,            0.009736
                  10,            0.016663,           0.0081721,             0.11744,            0.012998,             0.51302,            0.013396,            0.011969,           0.0065847,           0.0026136,            0.074551,            0.009703,            0.009703,            0.009703
                  11,            0.016089,           0.0080967,             0.11724,            0.019697,             0.56246,             0.01647,            0.014424,           0.0065554,           0.0025125,            0.074446,             0.00967,             0.00967,             0.00967
                  12,            0.015924,           0.0080318,             0.11672,            0.014286,             0.61768,            0.017405,            0.015107,           0.0061885,           0.0023866,            0.073927,            0.009637,            0.009637,            0.009637
                  13,            0.015779,           0.0078836,              0.1168,            0.082324,             0.32302,            0.022043,            0.019286,           0.0061958,           0.0023036,            0.073423,            0.009604,            0.009604,            0.009604
                  14,            0.015854,            0.007941,             0.11624,            0.066917,              0.4424,            0.027497,            0.024214,           0.0064405,           0.0022662,             0.07277,            0.009571,            0.009571,            0.009571
                  15,            0.015822,           0.0078603,              0.1156,            0.031654,              0.6497,            0.029648,            0.026125,           0.0062271,           0.0023023,            0.072045,            0.009538,            0.009538,            0.009538
                  16,            0.015801,           0.0077817,              0.1148,            0.074884,             0.48663,            0.034366,              0.0299,           0.0063282,           0.0023551,            0.071192,            0.009505,            0.009505,            0.009505
                  17,            0.016047,           0.0078952,             0.11403,            0.055068,             0.59673,            0.040865,            0.036587,           0.0063836,           0.0024221,            0.070148,            0.009472,            0.009472,            0.009472
                  18,            0.016011,           0.0077794,             0.11282,            0.087377,             0.52756,            0.040231,            0.035736,           0.0061725,           0.0023601,            0.068954,            0.009439,            0.009439,            0.009439
