               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042312,            0.018556,             0.12062,           0.0017614,               0.293,           0.0022513,           0.0015347,            0.025509,            0.011148,             0.07606,           0.0033202,           0.0033202,            0.070119
                   1,            0.031411,            0.014381,             0.11904,           0.0035153,             0.88299,           0.0075089,            0.003946,            0.020166,            0.011177,            0.076323,           0.0066315,           0.0066315,            0.040097
                   2,            0.030251,            0.014002,             0.11897,           0.0041351,             0.96604,           0.0093021,           0.0065878,            0.014587,           0.0055526,            0.075314,           0.0099209,           0.0099209,            0.010053
                   3,            0.028017,            0.013091,              0.1183,           0.0045154,             0.98212,            0.010914,           0.0079945,            0.015548,           0.0049164,             0.07528,            0.009901,            0.009901,            0.009901
                   4,            0.025633,            0.012514,             0.11802,            0.004943,             0.99242,            0.011779,           0.0093463,            0.011232,           0.0039515,            0.074967,            0.009901,            0.009901,            0.009901
                   5,            0.024936,            0.012276,              0.1179,            0.004944,             0.99342,            0.011224,           0.0087342,            0.011398,           0.0039187,            0.074647,            0.009868,            0.009868,            0.009868
                   6,            0.023908,            0.012022,             0.11765,           0.0047179,             0.97681,            0.009759,           0.0068473,             0.01714,            0.005093,            0.074563,            0.009835,            0.009835,            0.009835
                   7,            0.024386,             0.01222,              0.1177,           0.0049791,             0.95968,           0.0091269,            0.007138,            0.012807,            0.004581,            0.074952,            0.009802,            0.009802,            0.009802
                   8,            0.023702,            0.011846,             0.11724,           0.0048896,             0.98021,            0.011875,           0.0093565,            0.011875,           0.0043476,            0.074675,            0.009769,            0.009769,            0.009769
                   9,             0.02319,            0.011776,             0.11736,           0.0038376,              0.9558,              0.0109,           0.0080888,             0.01358,           0.0068298,            0.073987,            0.009736,            0.009736,            0.009736
                  10,            0.022352,            0.011642,             0.11715,           0.0047168,             0.98471,            0.011691,           0.0092488,            0.010832,           0.0043938,            0.074191,            0.009703,            0.009703,            0.009703
                  11,            0.022801,            0.011698,             0.11721,           0.0051335,             0.93311,           0.0092807,           0.0074364,            0.012385,           0.0046961,             0.07558,             0.00967,             0.00967,             0.00967
                  12,            0.022853,            0.011649,             0.11706,           0.0049005,             0.97913,            0.011621,           0.0088001,            0.014305,            0.004847,            0.074549,            0.009637,            0.009637,            0.009637
                  13,            0.022704,            0.011653,             0.11707,           0.0049083,             0.98873,            0.011764,           0.0093484,            0.011666,           0.0038918,            0.074225,            0.009604,            0.009604,            0.009604
                  14,            0.022721,            0.011725,              0.1171,           0.0045835,             0.98228,              0.0121,           0.0093709,            0.011124,           0.0040584,            0.074029,            0.009571,            0.009571,            0.009571
                  15,            0.022611,            0.011629,             0.11706,           0.0050671,             0.99029,            0.011691,           0.0092972,            0.011278,           0.0040117,            0.073806,            0.009538,            0.009538,            0.009538
                  16,            0.022184,            0.011379,              0.1168,           0.0049165,             0.98886,            0.012551,            0.010012,            0.011775,           0.0038176,             0.07411,            0.009505,            0.009505,            0.009505
                  17,             0.02257,            0.011722,             0.11697,           0.0050571,             0.98122,             0.01133,           0.0091255,            0.010438,           0.0036926,             0.07429,            0.009472,            0.009472,            0.009472
                  18,            0.023641,            0.011962,             0.11687,           0.0038851,             0.96178,            0.010377,           0.0068511,            0.014677,           0.0050588,            0.076004,            0.009439,            0.009439,            0.009439
                  19,            0.023108,            0.011832,             0.11691,           0.0048852,             0.98513,            0.010968,           0.0086941,            0.012667,           0.0044704,             0.07428,            0.009406,            0.009406,            0.009406
                  20,            0.022537,            0.011672,             0.11711,           0.0048454,             0.99339,            0.012398,            0.010325,            0.010057,           0.0035185,            0.074202,            0.009373,            0.009373,            0.009373
                  21,            0.021683,            0.011385,             0.11674,           0.0050229,             0.99143,            0.011926,           0.0094796,            0.011266,           0.0038871,            0.073612,             0.00934,             0.00934,             0.00934
                  22,            0.021627,            0.011588,              0.1168,           0.0050568,             0.99318,            0.012813,            0.010044,            0.010603,           0.0039214,            0.073538,            0.009307,            0.009307,            0.009307
                  23,            0.022361,            0.011811,             0.11673,           0.0049361,             0.99502,            0.013183,            0.010916,           0.0095333,           0.0035145,            0.074042,            0.009274,            0.009274,            0.009274
                  24,            0.021473,            0.011581,             0.11672,           0.0046459,             0.99427,             0.01301,            0.010667,            0.010501,           0.0034976,            0.073714,            0.009241,            0.009241,            0.009241
                  25,            0.022034,            0.011541,             0.11668,           0.0050031,             0.98898,            0.012847,            0.010524,            0.010993,           0.0036279,            0.074312,            0.009208,            0.009208,            0.009208
                  26,            0.022544,             0.01162,             0.11662,           0.0049056,             0.99337,            0.013801,             0.01095,            0.010723,           0.0038643,            0.073718,            0.009175,            0.009175,            0.009175
                  27,             0.02208,            0.011506,             0.11656,           0.0050942,             0.99418,            0.014038,            0.011719,           0.0097189,            0.003812,             0.07336,            0.009142,            0.009142,            0.009142
                  28,            0.021737,              0.0115,             0.11625,           0.0050204,             0.99514,            0.014993,            0.012593,           0.0086665,           0.0032057,            0.073654,            0.009109,            0.009109,            0.009109
                  29,            0.021584,            0.011395,             0.11642,           0.0049723,             0.99541,            0.013401,            0.010663,            0.010169,           0.0034618,             0.07351,            0.009076,            0.009076,            0.009076
                  30,            0.021744,            0.011471,             0.11631,           0.0051117,             0.99454,            0.014863,            0.012382,           0.0098912,           0.0033867,            0.073486,            0.009043,            0.009043,            0.009043
                  31,            0.021727,            0.011359,             0.11608,           0.0048578,             0.99614,            0.016141,            0.013457,           0.0094526,           0.0033579,            0.073012,             0.00901,             0.00901,             0.00901
                  32,            0.021931,             0.01152,             0.11622,           0.0046088,             0.99615,            0.014075,            0.011446,           0.0099886,             0.00356,            0.073076,            0.008977,            0.008977,            0.008977
                  33,            0.021674,            0.011516,              0.1165,           0.0050213,             0.99486,            0.016002,            0.013418,           0.0088433,           0.0030688,            0.073075,            0.008944,            0.008944,            0.008944
