               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 235,            0.017524,            0.012062,            0.039357,             0.91676,             0.91755,             0.95313,             0.89208,           0.0057551,           0.0021844,            0.009044,            0.002278,            0.002278,            0.002278
                 236,            0.017599,            0.012081,             0.03828,             0.91781,             0.91797,             0.95328,             0.89219,           0.0057567,           0.0021836,            0.008989,            0.002245,            0.002245,            0.002245
                 237,            0.017568,            0.012071,            0.039294,             0.92003,             0.91697,             0.95349,             0.89239,           0.0057563,           0.0021834,           0.0089358,            0.002212,            0.002212,            0.002212
                 238,            0.017306,            0.012075,            0.039494,             0.92156,             0.91667,             0.95357,             0.89261,           0.0057567,           0.0021835,           0.0088829,            0.002179,            0.002179,            0.002179
                 239,            0.017428,            0.012074,            0.038395,             0.91008,             0.92427,             0.95384,              0.8926,           0.0057554,           0.0021834,           0.0088299,            0.002146,            0.002146,            0.002146
                 240,            0.017345,            0.012131,             0.03844,             0.91697,             0.92355,             0.95414,             0.89291,            0.005756,           0.0021837,            0.008781,            0.002113,            0.002113,            0.002113
                 241,            0.017179,            0.011947,            0.038353,             0.91737,             0.92381,             0.95437,             0.89323,           0.0057542,            0.002183,           0.0087291,             0.00208,             0.00208,             0.00208
                 242,            0.017236,            0.012139,            0.038631,             0.91185,             0.92691,             0.95465,             0.89315,           0.0057532,           0.0021828,           0.0086771,            0.002047,            0.002047,            0.002047
                 243,            0.017133,            0.012013,            0.038945,             0.92136,             0.92189,             0.95477,             0.89318,           0.0057518,           0.0021826,           0.0086347,            0.002014,            0.002014,            0.002014
                 244,            0.017237,               0.012,            0.038119,             0.91306,             0.92638,             0.95495,             0.89359,           0.0057508,           0.0021829,           0.0085929,            0.001981,            0.001981,            0.001981
                 245,            0.017155,            0.012063,            0.038251,             0.91403,             0.92522,             0.95512,             0.89359,           0.0057506,           0.0021831,           0.0085463,            0.001948,            0.001948,            0.001948
                 246,            0.016769,            0.012092,            0.043891,             0.91469,              0.9265,             0.95542,             0.89365,           0.0057493,           0.0021832,           0.0085024,            0.001915,            0.001915,            0.001915
                 247,            0.016885,            0.012268,            0.043722,             0.91529,             0.92692,             0.95573,             0.89413,           0.0057492,           0.0021826,           0.0084665,            0.001882,            0.001882,            0.001882
                 248,            0.016681,            0.012381,            0.044618,             0.91597,             0.92767,             0.95588,             0.89424,           0.0057475,           0.0021818,           0.0084277,            0.001849,            0.001849,            0.001849
                 249,            0.016453,            0.012232,            0.043746,             0.91778,             0.92713,             0.95615,             0.89449,           0.0057468,           0.0021815,           0.0083886,            0.001816,            0.001816,            0.001816
                 250,            0.016654,            0.012323,            0.043699,             0.92133,             0.92645,             0.95657,             0.89503,           0.0057459,           0.0021808,           0.0083487,            0.001783,            0.001783,            0.001783
                 251,            0.016237,            0.012255,            0.042868,             0.91842,             0.92785,              0.9567,             0.89538,           0.0057439,           0.0021803,           0.0083146,             0.00175,             0.00175,             0.00175
                 252,            0.016548,            0.011977,            0.042688,             0.91945,             0.92818,             0.95693,             0.89547,           0.0057419,           0.0021801,           0.0082766,            0.001717,            0.001717,            0.001717
                 253,            0.016292,            0.012143,            0.042851,             0.92126,             0.92733,              0.9568,             0.89552,           0.0057411,           0.0021804,           0.0082344,            0.001684,            0.001684,            0.001684
                 254,             0.01626,            0.012177,            0.042871,              0.9197,             0.92845,             0.95716,             0.89561,            0.005744,            0.002181,           0.0081937,            0.001651,            0.001651,            0.001651
                 255,            0.016265,            0.012178,            0.042359,             0.91762,             0.93074,             0.95734,              0.8959,           0.0057428,           0.0021796,           0.0081514,            0.001618,            0.001618,            0.001618
                 256,            0.016247,            0.012034,              0.0427,             0.91856,             0.93072,             0.95752,             0.89607,           0.0057422,           0.0021787,           0.0081061,            0.001585,            0.001585,            0.001585
                 257,            0.016057,            0.011954,            0.041435,             0.91896,              0.9313,             0.95757,             0.89611,           0.0057431,           0.0021786,           0.0080619,            0.001552,            0.001552,            0.001552
                 258,            0.016305,            0.012099,             0.04167,             0.91951,              0.9313,             0.95761,             0.89623,           0.0057422,           0.0021783,           0.0080204,            0.001519,            0.001519,            0.001519
                 259,            0.016087,            0.012111,            0.040816,             0.92057,             0.93159,             0.95781,              0.8963,           0.0057431,            0.002178,           0.0079828,            0.001486,            0.001486,            0.001486
                 260,            0.016051,            0.011946,            0.040857,             0.92032,             0.93217,             0.95808,             0.89671,           0.0057447,           0.0021773,           0.0079413,            0.001453,            0.001453,            0.001453
                 261,            0.015925,            0.012023,            0.041125,             0.91992,             0.93267,             0.95825,             0.89674,           0.0057423,           0.0021763,           0.0078981,             0.00142,             0.00142,             0.00142
                 262,            0.015896,            0.011939,             0.04023,             0.92127,             0.93199,             0.95823,             0.89693,           0.0057408,           0.0021752,           0.0078549,            0.001387,            0.001387,            0.001387
                 263,            0.015969,            0.011917,            0.040683,             0.92043,             0.93311,             0.95839,             0.89732,            0.005736,           0.0021743,           0.0078097,            0.001354,            0.001354,            0.001354
                 264,            0.015669,            0.011821,            0.040304,             0.92014,             0.93379,              0.9586,             0.89748,            0.005736,           0.0021741,           0.0077713,            0.001321,            0.001321,            0.001321
                 265,            0.015754,            0.012022,            0.040344,             0.91999,             0.93358,             0.95874,             0.89763,           0.0057367,           0.0021732,           0.0077407,            0.001288,            0.001288,            0.001288
                 266,            0.015648,            0.011905,            0.039985,             0.92161,             0.93258,             0.95897,             0.89815,           0.0057371,           0.0021728,           0.0077076,            0.001255,            0.001255,            0.001255
                 267,            0.015496,            0.011758,            0.039474,              0.9256,             0.93043,             0.95902,             0.89803,           0.0057352,           0.0021725,           0.0076804,            0.001222,            0.001222,            0.001222
                 268,             0.01551,            0.011777,            0.039146,             0.92577,             0.93092,             0.95909,             0.89807,           0.0057349,           0.0021718,           0.0076521,            0.001189,            0.001189,            0.001189
                 269,            0.015374,            0.011711,            0.038265,             0.92575,             0.93094,             0.95912,             0.89817,           0.0057344,           0.0021715,           0.0076202,            0.001156,            0.001156,            0.001156
                 270,            0.015295,            0.011601,            0.038544,             0.92606,             0.93134,             0.95932,             0.89853,           0.0057315,           0.0021711,           0.0075861,            0.001123,            0.001123,            0.001123
                 271,            0.015226,            0.011776,            0.038249,             0.92114,             0.93479,             0.95942,             0.89856,           0.0057295,           0.0021708,            0.007553,             0.00109,             0.00109,             0.00109
                 272,            0.015088,            0.011706,            0.038023,              0.9189,             0.93673,             0.95952,             0.89867,           0.0057296,           0.0021713,           0.0075208,            0.001057,            0.001057,            0.001057
                 273,             0.01496,            0.011582,            0.037932,             0.92031,               0.937,             0.95977,             0.89888,           0.0057289,           0.0021717,           0.0074951,            0.001024,            0.001024,            0.001024
                 274,            0.015033,            0.011596,            0.038506,             0.92042,             0.93664,             0.95987,             0.89884,           0.0057298,           0.0021718,           0.0074685,            0.000991,            0.000991,            0.000991
                 275,             0.01496,            0.011539,            0.037598,             0.92087,             0.93635,             0.95995,             0.89912,           0.0057308,           0.0021714,           0.0074398,            0.000958,            0.000958,            0.000958
                 276,            0.014948,            0.011558,            0.037872,             0.92639,             0.93241,             0.96017,             0.89934,           0.0057309,           0.0021713,            0.007409,            0.000925,            0.000925,            0.000925
                 277,            0.014812,            0.011666,            0.036511,             0.92593,             0.93335,             0.96018,             0.89927,           0.0057295,           0.0021713,            0.007379,            0.000892,            0.000892,            0.000892
                 278,            0.014759,            0.011585,             0.03652,             0.92306,             0.93606,             0.96034,             0.89937,           0.0057291,           0.0021711,           0.0073524,            0.000859,            0.000859,            0.000859
                 279,            0.014711,            0.011552,            0.037764,             0.92518,             0.93476,             0.96056,              0.8994,           0.0057275,           0.0021713,           0.0073303,            0.000826,            0.000826,            0.000826
                 280,            0.014578,            0.011637,            0.038083,             0.92445,             0.93586,             0.96072,             0.89966,           0.0057282,           0.0021711,           0.0073084,            0.000793,            0.000793,            0.000793
                 281,            0.014589,            0.011529,            0.037781,             0.92467,              0.9359,             0.96077,             0.89971,           0.0057262,           0.0021712,           0.0072849,             0.00076,             0.00076,             0.00076
                 282,            0.014523,            0.011539,            0.037676,             0.92546,             0.93566,             0.96094,             0.89997,            0.005726,           0.0021708,           0.0072599,            0.000727,            0.000727,            0.000727
                 283,            0.014405,            0.011426,            0.036762,             0.91709,              0.9429,             0.96099,             0.89988,           0.0057233,             0.00217,           0.0072331,            0.000694,            0.000694,            0.000694
                 284,              0.0142,            0.011483,            0.036985,             0.91525,             0.94448,             0.96105,              0.8999,           0.0057201,           0.0021696,           0.0072012,            0.000661,            0.000661,            0.000661
                 285,            0.014087,            0.011322,            0.036939,              0.9187,             0.94278,             0.96109,             0.90004,           0.0057201,           0.0021696,           0.0071751,            0.000628,            0.000628,            0.000628
                 286,            0.014102,             0.01148,             0.03651,             0.91884,              0.9425,              0.9613,             0.90021,           0.0057197,            0.002169,           0.0071512,            0.000595,            0.000595,            0.000595
                 287,            0.013956,            0.011539,            0.039707,             0.91517,             0.94561,              0.9613,             0.90012,           0.0057184,            0.002168,           0.0071284,            0.000562,            0.000562,            0.000562
                 288,             0.01374,            0.011369,            0.039425,             0.92738,             0.93594,             0.96141,             0.90033,           0.0057174,           0.0021679,           0.0070974,            0.000529,            0.000529,            0.000529
                 289,            0.013793,            0.011413,            0.039144,             0.92307,             0.94034,             0.96161,             0.90076,           0.0057173,           0.0021674,            0.007068,            0.000496,            0.000496,            0.000496
                 290,            0.013565,            0.011347,            0.039701,             0.92431,             0.93951,             0.96165,             0.90061,           0.0057133,           0.0021669,           0.0070445,            0.000463,            0.000463,            0.000463
                 291,            0.013656,             0.01138,            0.039588,              0.9242,              0.9399,             0.96174,             0.90088,            0.005712,           0.0021663,           0.0070189,             0.00043,             0.00043,             0.00043
                 292,            0.013569,            0.011364,             0.03849,             0.91793,              0.9447,              0.9619,             0.90104,           0.0057111,           0.0021661,            0.006996,            0.000397,            0.000397,            0.000397
                 293,            0.013469,            0.011344,            0.038776,             0.92456,             0.94006,             0.96205,             0.90117,           0.0057093,            0.002166,           0.0069687,            0.000364,            0.000364,            0.000364
                 294,            0.013273,            0.011259,            0.038549,             0.91837,             0.94465,             0.96217,             0.90126,           0.0057071,           0.0021653,            0.006937,            0.000331,            0.000331,            0.000331
                 295,             0.01322,            0.011514,            0.039177,             0.91892,             0.94463,             0.96227,             0.90151,           0.0057062,           0.0021642,            0.006907,            0.000298,            0.000298,            0.000298
                 296,            0.013195,            0.011221,            0.039056,             0.91935,             0.94454,             0.96238,             0.90151,           0.0057029,           0.0021635,            0.006883,            0.000265,            0.000265,            0.000265
                 297,            0.013015,            0.011318,            0.038578,             0.91953,             0.94486,             0.96239,             0.90174,           0.0057002,            0.002163,           0.0068605,            0.000232,            0.000232,            0.000232
                 298,            0.012838,             0.01116,            0.038176,              0.9296,             0.93738,             0.96243,             0.90178,           0.0056995,           0.0021628,           0.0068387,            0.000199,            0.000199,            0.000199
                 299,             0.01278,            0.011063,            0.037154,             0.91941,             0.94553,             0.96247,             0.90175,           0.0056982,           0.0021624,           0.0068143,            0.000166,            0.000166,            0.000166
