               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049376,            0.026192,             0.12256,           0.0047578,             0.99376,           0.0081683,           0.0064977,            0.012186,           0.0039544,            0.077192,           0.0033202,           0.0033202,            0.070119
                   1,            0.031178,            0.019691,             0.11992,           0.0048383,             0.99734,           0.0081114,           0.0067877,            0.012335,           0.0034823,            0.076127,           0.0066315,           0.0066315,            0.040097
                   2,            0.028597,            0.018282,               0.119,           0.0046529,             0.99492,           0.0084254,           0.0064362,            0.012848,           0.0040827,            0.075659,           0.0099209,           0.0099209,            0.010053
                   3,            0.025178,            0.017381,             0.11863,           0.0050379,             0.99707,           0.0088509,           0.0076627,           0.0086008,           0.0028635,            0.075473,            0.009901,            0.009901,            0.009901
                   4,            0.023026,            0.016491,             0.11822,           0.0050414,             0.99702,           0.0089506,           0.0077934,             0.00819,           0.0027817,            0.075079,            0.009901,            0.009901,            0.009901
                   5,            0.021442,               0.016,             0.11792,           0.0050194,             0.99663,           0.0092404,           0.0080082,           0.0084537,           0.0027839,            0.075146,            0.009868,            0.009868,            0.009868
                   6,            0.020794,            0.015649,             0.11778,           0.0050531,             0.99806,           0.0096843,           0.0087163,           0.0072676,           0.0027754,            0.074978,            0.009835,            0.009835,            0.009835
                   7,            0.019987,            0.015109,             0.11767,           0.0050511,             0.99683,            0.010539,           0.0093662,           0.0071705,           0.0026432,            0.074676,            0.009802,            0.009802,            0.009802
                   8,            0.019839,             0.01506,             0.11733,           0.0050625,             0.99801,            0.010455,           0.0092717,           0.0070307,             0.00258,            0.074827,            0.009769,            0.009769,            0.009769
                   9,            0.019479,            0.014822,             0.11738,           0.0050367,             0.99785,            0.010902,           0.0097873,           0.0064817,           0.0025353,            0.074738,            0.009736,            0.009736,            0.009736
                  10,            0.019046,            0.014577,             0.11723,           0.0050305,             0.99818,            0.011348,            0.010014,           0.0067101,           0.0025635,            0.074436,            0.009703,            0.009703,            0.009703
                  11,            0.018603,            0.014369,             0.11711,           0.0050329,             0.99774,            0.011884,            0.010534,           0.0066516,           0.0025529,            0.074543,             0.00967,             0.00967,             0.00967
                  12,            0.018363,            0.014219,             0.11681,           0.0050684,             0.99885,            0.012888,            0.011258,           0.0066402,           0.0024319,            0.074086,            0.009637,            0.009637,            0.009637
                  13,            0.018338,            0.014158,             0.11664,           0.0050764,              0.9992,            0.013806,            0.012344,            0.006475,           0.0024557,            0.073573,            0.009604,            0.009604,            0.009604
                  14,            0.017813,            0.014227,             0.11621,           0.0050466,             0.99847,            0.014777,            0.012874,           0.0065947,           0.0025834,            0.073439,            0.009571,            0.009571,            0.009571
                  15,            0.018057,            0.014076,              0.1159,           0.0050332,              0.9992,            0.017161,            0.015311,           0.0062586,           0.0024823,            0.072506,            0.009538,            0.009538,            0.009538
                  16,            0.018087,            0.013985,              0.1154,           0.0050758,             0.99888,            0.018506,            0.016555,           0.0065606,           0.0024612,            0.071816,            0.009505,            0.009505,            0.009505
                  17,            0.018024,            0.013833,             0.11502,           0.0050186,             0.99897,            0.020314,            0.017821,           0.0067491,            0.002675,            0.071812,            0.009472,            0.009472,            0.009472
                  18,            0.018216,            0.014019,              0.1145,             0.25361,             0.18604,             0.02563,            0.022476,           0.0065476,           0.0025264,            0.070735,            0.009439,            0.009439,            0.009439
                  19,            0.017997,             0.01402,             0.11393,             0.30524,             0.19748,            0.027678,            0.024436,            0.006466,           0.0024369,             0.07045,            0.009406,            0.009406,            0.009406
                  20,            0.017951,            0.013907,             0.11318,            0.099596,             0.36079,            0.031702,            0.027902,           0.0063894,           0.0025633,            0.069144,            0.009373,            0.009373,            0.009373
