               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038609,             0.01709,             0.12014,           0.0035943,             0.89552,            0.010754,           0.0075348,            0.017838,           0.0074929,             0.07596,           0.0033251,           0.0033251,            0.070074
                   1,            0.029106,             0.01336,             0.11903,           0.0036047,             0.93472,            0.011596,           0.0088493,            0.013726,           0.0055725,            0.077076,           0.0066365,           0.0066365,            0.040052
                   2,            0.027654,            0.012885,             0.11857,            0.004593,             0.96387,            0.012196,           0.0081209,            0.017504,           0.0054883,             0.07607,           0.0099258,           0.0099258,            0.010008
                   3,            0.025287,            0.012211,             0.11788,           0.0041839,              0.9828,            0.013359,            0.010376,            0.011183,           0.0047741,            0.075398,            0.009901,            0.009901,            0.009901
                   4,            0.023955,            0.011896,             0.11775,           0.0050146,             0.99546,            0.016382,            0.013222,            0.010073,           0.0035006,            0.075995,            0.009901,            0.009901,            0.009901
                   5,            0.023482,             0.01147,             0.11755,           0.0051001,             0.98865,            0.017243,             0.01401,            0.010122,           0.0035739,            0.075227,            0.009868,            0.009868,            0.009868
                   6,            0.022816,            0.011647,             0.11733,           0.0048839,             0.97492,            0.013081,           0.0099537,            0.013783,           0.0048444,             0.07568,            0.009835,            0.009835,            0.009835
                   7,            0.025969,            0.013427,             0.11771,           0.0050226,             0.98663,            0.013525,            0.010589,            0.012832,           0.0041663,            0.075468,            0.009802,            0.009802,            0.009802
                   8,             0.02407,            0.012272,             0.11745,            0.004998,             0.99397,            0.015703,            0.012476,            0.010916,           0.0035357,            0.075126,            0.009769,            0.009769,            0.009769
                   9,            0.023449,            0.011916,             0.11738,           0.0050268,             0.99382,            0.015535,            0.012388,            0.010419,           0.0036742,            0.075238,            0.009736,            0.009736,            0.009736
                  10,            0.022633,            0.011743,             0.11784,           0.0050187,             0.99252,            0.017493,            0.014238,           0.0094979,            0.003713,            0.074786,            0.009703,            0.009703,            0.009703
                  11,            0.022728,            0.011831,             0.11722,           0.0048306,             0.99398,            0.013723,            0.011525,           0.0092429,           0.0035969,            0.075244,             0.00967,             0.00967,             0.00967
                  12,            0.022542,            0.011719,             0.11697,            0.005003,             0.99667,            0.018706,            0.015693,           0.0084279,           0.0032698,            0.074895,            0.009637,            0.009637,            0.009637
                  13,            0.022696,             0.01172,             0.11707,           0.0050917,             0.82313,           0.0099358,           0.0070376,            0.022234,           0.0070957,            0.078349,            0.009604,            0.009604,            0.009604
                  14,            0.024004,            0.012495,             0.11734,            0.004964,             0.98385,            0.012926,            0.010056,            0.013644,           0.0038631,            0.075445,            0.009571,            0.009571,            0.009571
                  15,            0.022249,            0.011526,             0.11699,           0.0050595,             0.99527,            0.017898,            0.015133,           0.0092864,           0.0032787,            0.075081,            0.009538,            0.009538,            0.009538
                  16,            0.022353,             0.01168,             0.11688,           0.0051541,              0.9624,            0.014963,            0.013269,           0.0090814,           0.0038416,            0.075472,            0.009505,            0.009505,            0.009505
                  17,            0.022317,            0.011619,             0.11677,           0.0050871,             0.98821,            0.015476,            0.013084,           0.0097613,           0.0037543,            0.074924,            0.009472,            0.009472,            0.009472
                  18,              0.0237,            0.012562,             0.11702,           0.0051017,             0.99081,            0.017744,            0.015241,           0.0088628,           0.0033618,            0.074694,            0.009439,            0.009439,            0.009439
                  19,            0.022417,            0.011702,             0.11685,           0.0049948,             0.99617,            0.018674,            0.016038,            0.008586,           0.0034094,            0.074538,            0.009406,            0.009406,            0.009406
                  20,            0.021964,            0.011521,             0.11674,           0.0050865,             0.99667,            0.018113,            0.015629,           0.0081936,           0.0030678,            0.075014,            0.009373,            0.009373,            0.009373
                  21,            0.022387,            0.011922,             0.11668,           0.0051112,             0.99851,             0.02143,            0.018176,           0.0088527,           0.0030934,            0.074633,             0.00934,             0.00934,             0.00934
                  22,            0.021832,            0.011477,             0.11677,           0.0051215,             0.99488,            0.020375,            0.017365,            0.009187,           0.0031661,            0.074283,            0.009307,            0.009307,            0.009307
                  23,            0.021145,            0.011451,             0.11649,           0.0051893,             0.99624,            0.019898,            0.016897,           0.0078161,           0.0030175,            0.074761,            0.009274,            0.009274,            0.009274
                  24,            0.021903,             0.01155,             0.11681,           0.0050615,             0.99731,             0.01916,            0.016237,           0.0085283,           0.0031877,             0.07418,            0.009241,            0.009241,            0.009241
                  25,            0.021929,            0.011606,              0.1165,           0.0050816,             0.99309,            0.020159,             0.01741,           0.0087251,           0.0031704,            0.073673,            0.009208,            0.009208,            0.009208
                  26,            0.021599,            0.011433,             0.11653,           0.0050815,             0.99603,            0.022458,            0.019645,           0.0081873,           0.0030613,            0.073799,            0.009175,            0.009175,            0.009175
                  27,            0.021483,            0.011403,             0.11638,           0.0052618,             0.99496,            0.021487,            0.018004,           0.0074667,           0.0030138,            0.074157,            0.009142,            0.009142,            0.009142
                  28,            0.021632,            0.011398,             0.11635,           0.0051367,             0.99628,            0.023098,            0.020107,           0.0082673,           0.0031676,            0.073451,            0.009109,            0.009109,            0.009109
                  29,            0.021342,            0.011388,             0.11623,           0.0052169,             0.99705,            0.022709,            0.019392,           0.0076417,            0.003013,             0.07309,            0.009076,            0.009076,            0.009076
                  30,            0.021554,            0.011499,             0.11569,           0.0052392,             0.99722,            0.024465,            0.020866,           0.0080947,            0.003047,            0.072612,            0.009043,            0.009043,            0.009043
                  31,            0.022064,            0.011924,             0.11568,           0.0052917,             0.99587,            0.024457,            0.021365,           0.0079487,           0.0029462,              0.0723,             0.00901,             0.00901,             0.00901
                  32,            0.021466,            0.011488,             0.11511,           0.0056262,             0.99795,            0.030177,            0.026277,           0.0078569,           0.0029798,            0.070886,            0.008977,            0.008977,            0.008977
                  33,            0.021182,            0.011388,             0.11448,           0.0058816,             0.99756,            0.031321,            0.027351,           0.0076189,           0.0028649,            0.069709,            0.008944,            0.008944,            0.008944
                  34,            0.021612,            0.011439,              0.1139,           0.0060087,             0.99486,            0.034728,            0.030317,            0.007751,           0.0029442,            0.069657,            0.008911,            0.008911,            0.008911
                  35,            0.021273,             0.01141,             0.11331,           0.0064499,             0.99491,             0.03498,            0.030457,           0.0073955,           0.0028486,             0.06911,            0.008878,            0.008878,            0.008878
                  36,            0.021455,            0.011371,             0.11334,           0.0062239,             0.99762,            0.036277,            0.031451,           0.0074793,           0.0028208,             0.06873,            0.008845,            0.008845,            0.008845
                  37,            0.021439,            0.011473,             0.11293,           0.0062753,             0.99715,            0.036466,            0.031393,           0.0074687,           0.0028239,             0.06871,            0.008812,            0.008812,            0.008812
                  38,            0.021147,            0.011446,             0.11276,           0.0063358,              0.9983,            0.038885,            0.033393,           0.0073005,           0.0027517,            0.068644,            0.008779,            0.008779,            0.008779
                  39,            0.021423,            0.011288,             0.11256,           0.0064478,             0.99773,            0.038153,            0.033101,           0.0073196,           0.0027619,            0.068482,            0.008746,            0.008746,            0.008746
                  40,            0.021476,            0.011337,             0.11242,            0.006413,             0.99864,            0.039358,             0.03396,            0.007137,           0.0027647,            0.068436,            0.008713,            0.008713,            0.008713
                  41,            0.021285,            0.011227,             0.11221,           0.0065982,             0.99787,            0.038931,            0.033616,           0.0072269,           0.0028024,            0.068338,             0.00868,             0.00868,             0.00868
                  42,            0.021455,            0.011229,             0.11198,           0.0065582,             0.99787,            0.038567,            0.033181,           0.0073296,           0.0027491,            0.068279,            0.008647,            0.008647,            0.008647
                  43,            0.021309,            0.011248,             0.11183,           0.0065336,              0.9983,            0.040231,            0.034597,           0.0071433,           0.0027847,            0.068333,            0.008614,            0.008614,            0.008614
                  44,            0.020627,            0.011257,             0.11172,           0.0066123,             0.99779,            0.040569,            0.035398,           0.0071516,           0.0027312,            0.068075,            0.008581,            0.008581,            0.008581
                  45,            0.021013,            0.011156,             0.11139,           0.0066805,              0.9983,            0.038764,            0.033597,           0.0073346,           0.0028088,            0.068228,            0.008548,            0.008548,            0.008548
                  46,            0.020731,            0.011175,             0.11154,           0.0067949,              0.9983,            0.038033,            0.032898,           0.0070955,           0.0027382,            0.067773,            0.008515,            0.008515,            0.008515
                  47,            0.020829,            0.011142,             0.11109,           0.0068352,              0.9983,            0.039841,            0.034342,           0.0071304,           0.0027484,            0.067782,            0.008482,            0.008482,            0.008482
                  48,            0.021022,            0.011142,             0.11126,           0.0068047,             0.99766,            0.040939,            0.035456,           0.0070416,           0.0027857,            0.067649,            0.008449,            0.008449,            0.008449
                  49,            0.020563,            0.011168,             0.11087,           0.0068154,              0.9983,            0.040197,            0.035155,           0.0069816,            0.002765,            0.067471,            0.008416,            0.008416,            0.008416
                  50,            0.020904,            0.011112,             0.11088,           0.0069379,             0.99779,            0.039065,             0.03398,           0.0070518,           0.0026935,            0.067314,            0.008383,            0.008383,            0.008383
                  51,            0.020387,            0.010966,             0.11078,           0.0069578,             0.99722,            0.041356,            0.036308,           0.0069409,           0.0026731,            0.067073,             0.00835,             0.00835,             0.00835
                  52,            0.020689,            0.011145,             0.11073,           0.0069468,              0.9983,            0.042568,            0.037539,           0.0069046,           0.0027039,            0.067139,            0.008317,            0.008317,            0.008317
                  53,            0.020482,            0.011176,             0.11076,           0.0070021,              0.9983,             0.04464,             0.03919,           0.0069074,           0.0026597,            0.066947,            0.008284,            0.008284,            0.008284
                  54,            0.020754,            0.011086,             0.11023,           0.0070252,             0.99766,            0.043822,            0.038497,           0.0070023,           0.0026213,            0.066521,            0.008251,            0.008251,            0.008251
                  55,            0.020347,            0.011053,             0.11032,           0.0070794,             0.99709,             0.04627,            0.040715,            0.007112,           0.0026623,            0.066482,            0.008218,            0.008218,            0.008218
                  56,            0.020517,            0.011013,             0.11019,           0.0071103,             0.99773,            0.047741,            0.042029,           0.0070725,           0.0026433,            0.066527,            0.008185,            0.008185,            0.008185
                  57,             0.02017,            0.010898,             0.10998,           0.0071604,             0.99773,            0.046508,             0.04062,           0.0069897,           0.0026208,            0.066412,            0.008152,            0.008152,            0.008152
                  58,            0.020544,            0.011038,             0.11017,           0.0071802,             0.99773,             0.04998,            0.044091,           0.0069847,           0.0026417,            0.066363,            0.008119,            0.008119,            0.008119
                  59,            0.020728,            0.011075,             0.11018,           0.0072078,             0.99773,            0.048366,            0.042446,            0.007022,            0.002644,            0.066479,            0.008086,            0.008086,            0.008086
                  60,             0.02055,            0.010962,             0.10978,           0.0071998,             0.99773,            0.047796,            0.041975,           0.0070008,           0.0026413,            0.066211,            0.008053,            0.008053,            0.008053
                  61,            0.020435,            0.010936,             0.10992,           0.0072338,             0.99773,            0.049294,            0.043401,           0.0068894,           0.0026341,            0.066263,             0.00802,             0.00802,             0.00802
                  62,            0.020134,            0.010896,             0.11003,           0.0072747,              0.9983,            0.049977,            0.044145,           0.0068587,           0.0026345,            0.066214,            0.007987,            0.007987,            0.007987
                  63,            0.020256,            0.010921,             0.10964,           0.0072775,              0.9983,            0.049711,            0.043972,           0.0068509,           0.0026476,            0.066035,            0.007954,            0.007954,            0.007954
                  64,            0.020145,            0.010903,             0.10972,           0.0072866,             0.99773,            0.051679,            0.045751,           0.0068955,           0.0026404,            0.066017,            0.007921,            0.007921,            0.007921
                  65,             0.01996,            0.010815,             0.10959,           0.0072957,             0.99773,            0.050092,            0.044305,           0.0068893,           0.0026373,            0.065865,            0.007888,            0.007888,            0.007888
                  66,              0.0204,            0.010964,             0.10929,           0.0073224,             0.99773,            0.049092,            0.043507,           0.0068934,           0.0026391,            0.065824,            0.007855,            0.007855,            0.007855
                  67,             0.02017,            0.010944,             0.10951,           0.0073391,             0.99773,            0.050625,            0.044892,           0.0068778,           0.0026434,            0.065717,            0.007822,            0.007822,            0.007822
                  68,            0.020141,            0.010979,             0.10957,            0.007358,             0.99773,            0.050083,            0.044357,           0.0069188,           0.0026428,            0.065696,            0.007789,            0.007789,            0.007789
                  69,            0.020455,            0.010943,             0.10948,           0.0073671,             0.99773,            0.050225,            0.044245,           0.0069329,           0.0026389,            0.065662,            0.007756,            0.007756,            0.007756
                  70,             0.01999,            0.010914,             0.10928,           0.0073788,             0.99773,            0.051095,            0.045041,           0.0069256,           0.0026351,            0.065585,            0.007723,            0.007723,            0.007723
                  71,            0.020552,            0.010907,             0.10932,           0.0074053,             0.99773,            0.052609,            0.046435,             0.00691,           0.0026421,            0.065541,             0.00769,             0.00769,             0.00769
                  72,            0.020217,             0.01082,             0.10938,           0.0074184,             0.99773,            0.053888,            0.047553,           0.0069271,           0.0026413,            0.065477,            0.007657,            0.007657,            0.007657
                  73,            0.019957,            0.010733,             0.10946,           0.0074353,             0.99773,             0.05514,            0.048826,           0.0068921,           0.0026394,            0.065425,            0.007624,            0.007624,            0.007624
                  74,            0.019947,            0.010755,             0.10891,           0.0074543,             0.99773,            0.054822,             0.04859,           0.0068958,           0.0026303,            0.065416,            0.007591,            0.007591,            0.007591
                  75,            0.019764,            0.010742,              0.1089,           0.0074782,             0.99773,             0.05431,            0.048089,           0.0068996,           0.0026299,            0.065431,            0.007558,            0.007558,            0.007558
                  76,             0.01979,            0.010799,             0.10899,           0.0074915,             0.99773,            0.054725,            0.048512,           0.0068969,           0.0026326,            0.065391,            0.007525,            0.007525,            0.007525
                  77,            0.019685,            0.010819,             0.10906,           0.0075043,             0.99858,            0.054853,            0.048521,           0.0068973,           0.0026379,            0.065344,            0.007492,            0.007492,            0.007492
                  78,            0.019681,            0.010851,             0.10891,           0.0075176,             0.99858,            0.055248,            0.048819,           0.0068941,           0.0026433,            0.065318,            0.007459,            0.007459,            0.007459
                  79,            0.019781,            0.010805,             0.10896,           0.0075285,             0.99858,            0.055333,            0.048901,           0.0068966,           0.0026422,            0.065349,            0.007426,            0.007426,            0.007426
                  80,            0.019812,            0.010824,              0.1088,           0.0075375,             0.99858,            0.054964,            0.048489,           0.0068994,           0.0026504,            0.065292,            0.007393,            0.007393,            0.007393
                  81,            0.019823,            0.010734,             0.10897,           0.0075469,             0.99858,            0.055631,            0.049081,           0.0068914,           0.0026489,            0.065262,             0.00736,             0.00736,             0.00736
                  82,             0.01988,            0.010824,             0.10878,           0.0075605,             0.99858,            0.055753,            0.049196,           0.0068952,            0.002648,            0.065275,            0.007327,            0.007327,            0.007327
                  83,            0.019957,            0.010906,             0.10875,           0.0075714,             0.99858,            0.055543,            0.048979,           0.0069001,           0.0026506,             0.06525,            0.007294,            0.007294,            0.007294
                  84,            0.019901,            0.010713,             0.10882,           0.0075895,             0.99858,             0.05617,            0.049571,           0.0068985,           0.0026507,            0.065233,            0.007261,            0.007261,            0.007261
                  85,            0.019675,            0.010889,             0.10888,           0.0076017,             0.99858,            0.056882,            0.050238,           0.0068969,           0.0026555,            0.065215,            0.007228,            0.007228,            0.007228
                  86,            0.019947,            0.010821,             0.10868,           0.0076133,             0.99858,            0.055774,              0.0494,           0.0069055,           0.0026589,             0.06521,            0.007195,            0.007195,            0.007195
                  87,             0.01965,            0.010721,             0.10851,           0.0076206,             0.99858,            0.055841,            0.049446,           0.0069168,           0.0026618,             0.06517,            0.007162,            0.007162,            0.007162
                  88,             0.01942,            0.010693,             0.10813,           0.0076327,             0.99858,            0.055933,            0.049593,           0.0069245,           0.0026646,            0.065155,            0.007129,            0.007129,            0.007129
                  89,            0.019469,            0.010594,             0.10839,           0.0076403,             0.99858,            0.055703,            0.049396,           0.0069314,            0.002666,            0.065138,            0.007096,            0.007096,            0.007096
                  90,            0.019815,            0.010742,             0.10843,           0.0076491,             0.99858,            0.056359,             0.04999,           0.0069434,           0.0026682,            0.065124,            0.007063,            0.007063,            0.007063
                  91,            0.019691,            0.010637,             0.10833,            0.007663,             0.99858,            0.056489,            0.050071,           0.0069414,           0.0026681,            0.065113,             0.00703,             0.00703,             0.00703
                  92,            0.019682,            0.010725,             0.10857,           0.0076678,             0.99858,            0.056319,            0.049945,           0.0069414,           0.0026695,            0.065071,            0.006997,            0.006997,            0.006997
                  93,            0.019838,            0.010717,             0.10832,           0.0076803,             0.99858,            0.057743,            0.051251,           0.0069425,           0.0026705,            0.065034,            0.006964,            0.006964,            0.006964
                  94,            0.019527,            0.010606,             0.10799,           0.0076858,             0.99858,            0.057657,            0.051068,           0.0069513,           0.0026714,            0.065003,            0.006931,            0.006931,            0.006931
                  95,            0.019772,            0.010699,             0.10815,           0.0076907,             0.99858,            0.057665,            0.051051,           0.0069541,           0.0026724,            0.064968,            0.006898,            0.006898,            0.006898
                  96,            0.019626,            0.010688,              0.1083,           0.0076981,             0.99858,             0.05791,            0.051311,           0.0069538,           0.0026735,            0.064938,            0.006865,            0.006865,            0.006865
                  97,            0.019678,            0.010693,             0.10843,           0.0077041,             0.99858,             0.05829,            0.051626,           0.0069641,           0.0026734,            0.064909,            0.006832,            0.006832,            0.006832
                  98,            0.019745,             0.01062,             0.10828,           0.0077062,             0.99858,             0.05887,            0.052111,           0.0069706,           0.0026747,             0.06489,            0.006799,            0.006799,            0.006799
                  99,            0.019481,            0.010702,             0.10805,           0.0077081,             0.99858,            0.058536,            0.051868,           0.0069789,            0.002676,            0.064859,            0.006766,            0.006766,            0.006766
